,Listed Name,Sold Price,Date Sold
214,[EXC+5] Olympus XA 35mm Rangefinder Zuiko 35mm f2.8 A11 Flash From JAPAN,129.99,Dec 8 2023
215,[Near MINT w/ Case Strap] Olympus XA 35mm Rangefinder Film Camera From Japan,134.99,Dec 8 2023
216,Olympus XA 35mm Film Camera Rangefinder New Light Seals f/2.8 A11 Flash Unit,129.95,Dec 8 2023
217,Olympus XA1 35mm Film Camera D.Zuiko 35mm 1:4 XA1 Model,50.0,Dec 8 2023
218,[MINT++ w/strap] Olympus XA 35mm Rangefinder Film Camera + A11 Flash From JAPAN,194.99,Dec 8 2023
219,[N MINT w/Case Strap] Olympus XA2 A11 Flash Black 35mm Film Point & Shoot JAPAN,129.99,Dec 8 2023
220,Olympus XA2 w/ Flash A11,79.99,Dec 8 2023
221,OLYMPUS XA2 35mm F3.5 Point &Shoot Compact Film Camera From Japan Excellent++,89.8,Dec 8 2023
222,Olympus XA2 35mm Point & Shoot Film Camera Black Photo Photography Xa 2,99.99,Dec 8 2023
223,[Near MINT+++] Tested Olympus XA A11 flash 35mm Rangefinder Film Camera JAPAN,179.99,Dec 6 2023
224,Olympus XA Shutter Release Guard Accessories,5.0,Dec 7 2023
225,[N MINT/A11 Flash OK ] Olympus XA2 Red 35mm Point & Shoot Film Camera From JAPAN,189.99,Dec 7 2023
226,[N MINT] OLYMPUS XA2 35mm Rangefinder Film Camera Black w/ Strap From JAPAN,119.9,Dec 7 2023
227,Two Olympus XA Film Rangefinder Compact Camera w/ 2 Flashes,150.0,Dec 7 2023
228,Olympus XA f2.8 35MM Compact Rangefinder Camera w/ Batteries - Film Tested,149.99,Dec 7 2023
229,*Exc+5* Olympus XA2 Zone Fucus Rangefinder Film Camera 35mm F3.5 From JAPAN,64.95,Dec 7 2023
230,Olympus XA2 35mm Film Compact Camera with A11 Flash Urban White,134.92,Dec 7 2023
231,【Near Mint】 Olympus XA Rangefinder 35mm Point & Shoot Film Camera From JAPAN 609,159.99,Dec 7 2023
232,Olympus XA2 camera tops | Parts | All for | 9.50 |,9.5,Dec 7 2023
233,Olympus XA2 Black Compact Film Camera 35mm Point flash Boxed Nice,165.0,Dec 7 2023
234,Olympus XA f2.8 35MM Compact Rangefinder Camera w/ Batteries - Film Tested,79.99,Dec 7 2023
235,Olympus XA A16 35mm Point & Shoot Film Camera 1:2.8 Lens For Parts or Repair,39.99,Dec 7 2023
236,*Exc+5* Olympus XA2 Zone Focus Rangefinder Film Camera w/ A11 Flash From JAPAN,109.0,Dec 1 2023
237,*Near MINT* Olympus XA 35mm Rangefinder Film Camera w/ A11 Flash From JAPAN,194.0,Dec 1 2023
238,[N MINT] Olympus A16 Electronic Flash For XA Series XA1 XA2 Film Camera JAPAN,59.99,Dec 6 2023
239,Read! [EXCELLENT+++++] Olympus XA2 Red 35mm Rangefinder Film Camera Body JAPAN,120.0,Dec 6 2023
